#This file contain the url which name are parsed.
#Page Number|file Name|Host Name|Main URL|Changed URL.
1|hpd_tours.c|192.168.1.69:81|192.168.1.69:81/tours/index.html|192.168.1.69_81/tours/index.html
1|hpd_tours.c|192.168.1.69:81|192.168.1.69:81/tours/Merc10-dev/images/banner_animated.gif|192.168.1.69_81/tours/Merc10-dev/images/banner_animated.gif
1|hpd_tours.c|192.168.1.69:81|192.168.1.69:81/tours/Merc10-dev/images/sun_swede.gif|192.168.1.69_81/tours/Merc10-dev/images/sun_swede.gif
1|hpd_tours.c|192.168.1.69:81|192.168.1.69:81/tours/Merc10-dev/images/login.gif|192.168.1.69_81/tours/Merc10-dev/images/login.gif
1|hpd_tours.c|192.168.1.69:81|192.168.1.69:81/tours/images/banner_merctur.jpg|192.168.1.69_81/tours/images/banner_merctur.jpg
2|hpd_tours.c|192.168.1.69:81|192.168.1.69:81/cgi-bin/login?userSession=75893.0884568651DQADHfApHDHfcDtccpfAttcf&username=netstorm&password=netstorm&JSFormSubmit=off&login.x=52&login.y=10|192.168.1.69_81/cgi-bin/login_userSession=75893.0884568651DQADHfApHDHfcDtccpfAttcf_username=netstorm_password=netstorm_JSFormSubmit=off_login.x=52_login.y=10
2|hpd_tours.c|192.168.1.69:81|192.168.1.69:81/tours/Merc10-dev/images/banner_animated.gif|192.168.1.69_81/tours/Merc10-dev/images/banner_animated.gif_2
2|hpd_tours.c|192.168.1.69:81|192.168.1.69:81/tours/Merc10-dev/images/sun_swede.gif|192.168.1.69_81/tours/Merc10-dev/images/sun_swede.gif_2
2|hpd_tours.c|192.168.1.69:81|192.168.1.69:81/tours/Merc10-dev/images/flights.gif|192.168.1.69_81/tours/Merc10-dev/images/flights.gif
2|hpd_tours.c|192.168.1.69:81|192.168.1.69:81/tours/Merc10-dev/images/home.gif|192.168.1.69_81/tours/Merc10-dev/images/home.gif
2|hpd_tours.c|192.168.1.69:81|192.168.1.69:81/tours/Merc10-dev/images/signoff.gif|192.168.1.69_81/tours/Merc10-dev/images/signoff.gif
2|hpd_tours.c|192.168.1.69:81|192.168.1.69:81/tours/images/banner_merctur.jpg|192.168.1.69_81/tours/images/banner_merctur.jpg_2
2|hpd_tours.c|192.168.1.69:81|192.168.1.69:81/tours/vep/images/velocigen.gif|192.168.1.69_81/tours/vep/images/velocigen.gif
3|hpd_tours.c|192.168.1.69:81|192.168.1.69:81/cgi-bin/reservation|192.168.1.69_81/cgi-bin/reservation
3|hpd_tours.c|192.168.1.69:81|192.168.1.69:81/tours/Merc10-dev/images/banner_animated.gif|192.168.1.69_81/tours/Merc10-dev/images/banner_animated.gif_3
3|hpd_tours.c|192.168.1.69:81|192.168.1.69:81/tours/Merc10-dev/images/sun_swede.gif|192.168.1.69_81/tours/Merc10-dev/images/sun_swede.gif_3
3|hpd_tours.c|192.168.1.69:81|192.168.1.69:81/tours/Merc10-dev/images/flights.gif|192.168.1.69_81/tours/Merc10-dev/images/flights.gif_2
3|hpd_tours.c|192.168.1.69:81|192.168.1.69:81/tours/Merc10-dev/images/home.gif|192.168.1.69_81/tours/Merc10-dev/images/home.gif_2
3|hpd_tours.c|192.168.1.69:81|192.168.1.69:81/tours/Merc10-dev/images/signoff.gif|192.168.1.69_81/tours/Merc10-dev/images/signoff.gif_2
3|hpd_tours.c|192.168.1.69:81|192.168.1.69:81/tours/Merc10-dev/images/splash_Findflight.gif|192.168.1.69_81/tours/Merc10-dev/images/splash_Findflight.gif
3|hpd_tours.c|192.168.1.69:81|192.168.1.69:81/tours/images/continue.gif|192.168.1.69_81/tours/images/continue.gif
3|hpd_tours.c|192.168.1.69:81|192.168.1.69:81/tours/vep/images/velocigen.gif|192.168.1.69_81/tours/vep/images/velocigen.gif_2
4|hpd_tours.c|192.168.1.69:81|192.168.1.69:81/cgi-bin/findflight?depart=Acapulco&departDate=04-10-2012&arrive=Acapulco&returnDate=04-11-2012&numPassengers=1&seatPref=Window&seatType=First&findFlights.x=89&findFlights.y=12|192.168.1.69_81/cgi-bin/findflight_depart=Acapulco_departDate=04-10-2012_arrive=Acapulco_returnDate=04-11-2012_numPassengers=1_seatPref=Window_seatType=First_findFlights.x=
4|hpd_tours.c|192.168.1.69:81|192.168.1.69:81/tours/Merc10-dev/images/banner_animated.gif|192.168.1.69_81/tours/Merc10-dev/images/banner_animated.gif_4
4|hpd_tours.c|192.168.1.69:81|192.168.1.69:81/tours/Merc10-dev/images/sun_swede.gif|192.168.1.69_81/tours/Merc10-dev/images/sun_swede.gif_4
4|hpd_tours.c|192.168.1.69:81|192.168.1.69:81/tours/Merc10-dev/images/flights.gif|192.168.1.69_81/tours/Merc10-dev/images/flights.gif_3
4|hpd_tours.c|192.168.1.69:81|192.168.1.69:81/tours/Merc10-dev/images/home.gif|192.168.1.69_81/tours/Merc10-dev/images/home.gif_3
4|hpd_tours.c|192.168.1.69:81|192.168.1.69:81/tours/Merc10-dev/images/signoff.gif|192.168.1.69_81/tours/Merc10-dev/images/signoff.gif_3
4|hpd_tours.c|192.168.1.69:81|192.168.1.69:81/tours/images/splash_Searchresults.gif|192.168.1.69_81/tours/images/splash_Searchresults.gif
4|hpd_tours.c|192.168.1.69:81|192.168.1.69:81/tours/images/continue.gif|192.168.1.69_81/tours/images/continue.gif_2
4|hpd_tours.c|192.168.1.69:81|192.168.1.69:81/tours/images/startover.gif|192.168.1.69_81/tours/images/startover.gif
4|hpd_tours.c|192.168.1.69:81|192.168.1.69:81/tours/vep/images/velocigen.gif|192.168.1.69_81/tours/vep/images/velocigen.gif_3
5|hpd_tours.c|192.168.1.69:81|192.168.1.69:81/cgi-bin/findflight?hidden_outboundFlight_button0=000%7C0%7C04-10-2012&hidden_outboundFlight_button1=001%7C0%7C04-10-2012&outboundFlight=button2&hidden_outboundFlight_button2=002%7C0%7C04-10-2012&hidden_outboundFlight_button3=003%7C0%7C04-10-2012&numPassengers=1&advanceDiscount=&seatType=First&seatPref=Window&reserveFlights.x=65&reserveFlights.y=17|192.168.1.69_81/cgi-bin/findflight_hidden_outboundFlight_button0=000_0_04-10-2012_hidden_outboundFlight_button1=001_0_04-10-2012_outboundFlight=button2_hidden_outboundFligh
5|hpd_tours.c|192.168.1.69:81|192.168.1.69:81/tours/Merc10-dev/images/banner_animated.gif|192.168.1.69_81/tours/Merc10-dev/images/banner_animated.gif_5
5|hpd_tours.c|192.168.1.69:81|192.168.1.69:81/tours/Merc10-dev/images/sun_swede.gif|192.168.1.69_81/tours/Merc10-dev/images/sun_swede.gif_5
5|hpd_tours.c|192.168.1.69:81|192.168.1.69:81/tours/Merc10-dev/images/flights.gif|192.168.1.69_81/tours/Merc10-dev/images/flights.gif_4
5|hpd_tours.c|192.168.1.69:81|192.168.1.69:81/tours/Merc10-dev/images/home.gif|192.168.1.69_81/tours/Merc10-dev/images/home.gif_4
5|hpd_tours.c|192.168.1.69:81|192.168.1.69:81/tours/Merc10-dev/images/signoff.gif|192.168.1.69_81/tours/Merc10-dev/images/signoff.gif_4
5|hpd_tours.c|192.168.1.69:81|192.168.1.69:81/tours/images/splash_creditcard.gif|192.168.1.69_81/tours/images/splash_creditcard.gif
5|hpd_tours.c|192.168.1.69:81|192.168.1.69:81/tours/images/purchaseflight.gif|192.168.1.69_81/tours/images/purchaseflight.gif
5|hpd_tours.c|192.168.1.69:81|192.168.1.69:81/tours/images/startover.gif|192.168.1.69_81/tours/images/startover.gif_2
5|hpd_tours.c|192.168.1.69:81|192.168.1.69:81/tours/vep/images/velocigen.gif|192.168.1.69_81/tours/vep/images/velocigen.gif_4
6|hpd_tours.c|192.168.1.69:81|192.168.1.69:81/cgi-bin/findflight?firstName=Tiger&lastName=Scott&address1=4261+Stevenson+Blvd.&address2=Fremont%2C+CA+94538&pass1=Scott+Tiger&creditCard=&expDate=&oldCCOption=&numPassengers=1&seatType=First&seatPref=Window&outboundFlight=002%7C0%7C04-10-2012&advanceDiscount=&.cgifields=saveCC&buyFlights.x=57&buyFlights.y=12|192.168.1.69_81/cgi-bin/findflight_firstName=Tiger_lastName=Scott_address1=4261+Stevenson+Blvd._address2=Fremont_2C+CA+94538_pass1=Scott+Tiger_creditCard=_expDate=_oldCCOpt
6|hpd_tours.c|192.168.1.69:81|192.168.1.69:81/tours/Merc10-dev/images/banner_animated.gif|192.168.1.69_81/tours/Merc10-dev/images/banner_animated.gif_6
6|hpd_tours.c|192.168.1.69:81|192.168.1.69:81/tours/Merc10-dev/images/sun_swede.gif|192.168.1.69_81/tours/Merc10-dev/images/sun_swede.gif_6
6|hpd_tours.c|192.168.1.69:81|192.168.1.69:81/tours/Merc10-dev/images/flights.gif|192.168.1.69_81/tours/Merc10-dev/images/flights.gif_5
6|hpd_tours.c|192.168.1.69:81|192.168.1.69:81/tours/Merc10-dev/images/home.gif|192.168.1.69_81/tours/Merc10-dev/images/home.gif_5
6|hpd_tours.c|192.168.1.69:81|192.168.1.69:81/tours/Merc10-dev/images/signoff.gif|192.168.1.69_81/tours/Merc10-dev/images/signoff.gif_5
6|hpd_tours.c|192.168.1.69:81|192.168.1.69:81/tours/images/splash_flightconfirm.gif|192.168.1.69_81/tours/images/splash_flightconfirm.gif
6|hpd_tours.c|192.168.1.69:81|192.168.1.69:81/tours/images/bookanother.gif|192.168.1.69_81/tours/images/bookanother.gif
6|hpd_tours.c|192.168.1.69:81|192.168.1.69:81/tours/vep/images/velocigen.gif|192.168.1.69_81/tours/vep/images/velocigen.gif_5
7|hpd_tours.c|192.168.1.69:81|192.168.1.69:81/cgi-bin/welcome|192.168.1.69_81/cgi-bin/welcome
7|hpd_tours.c|192.168.1.69:81|192.168.1.69:81/tours/Merc10-dev/images/banner_animated.gif|192.168.1.69_81/tours/Merc10-dev/images/banner_animated.gif_7
7|hpd_tours.c|192.168.1.69:81|192.168.1.69:81/tours/Merc10-dev/images/sun_swede.gif|192.168.1.69_81/tours/Merc10-dev/images/sun_swede.gif_7
7|hpd_tours.c|192.168.1.69:81|192.168.1.69:81/tours/Merc10-dev/images/login.gif|192.168.1.69_81/tours/Merc10-dev/images/login.gif_2
